image_id,label,filename,set,uid,record_id,label_predicted,score_predicted,e_0,e_1,in_test,label_true,labeled,color_prob,color_class,label_undetermined,scores_predicted,label_possible,score_possible,entropy,al_measure,most_needed,fre,incorrect_score,double_checked,dp_is_ldp,dp_depth,dp_depth_alt,dp_parent,display_order,num_children,dp_cluster,num_children_alt,dp_cluster_color,dp_most_needed,direct_most_needed,score_true,color_fre
ZMA_MOLL_154526,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_154526.jpg,,ZMA_MOLL_154526,ZMA_MOLL_154526R,Shell,1.0,-11.541025,14.415169,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,0,18278,16,2968,18270,8,21.0,2,#32658e,66.0,18272,,#440154
RMNH_MOL_191563,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_191563.jpg,,RMNH_MOL_191563,RMNH_MOL_191563R,Shell,1.0,-14.07028,11.823593,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.962806821064412,0.61,0,0,18278,17,15656,18269,2,2.0,1,#460b5e,66.0,18272,,#f8e621
ZMA_MOLL_165001,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_165001.jpg,,ZMA_MOLL_165001,ZMA_MOLL_165001R,Shell,1.0,-16.558903,15.127094,0,Shell,1,#800080,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9556146038761688,0.61,1,0,18278,13,13674,18268,0,0.0,0,#440154,66.0,18272,1.0,#f1e51d
RMNH_MOL_216416,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_216416.jpg,,RMNH_MOL_216416,RMNH_MOL_216416R,Shell,1.0,-9.130832,9.012753,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,0,18278,13,13191,18267,28,0.0,2,#440154,66.0,18272,,#440154
RMNH_MOL_198285,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_198285.jpg,,RMNH_MOL_198285,RMNH_MOL_198285R,Shell,,-11.893423,13.348381,0,Shell,1,#800080,#9c9ede,,,,,,18272,66.0,0.9695016294904124,0.61,1,0,18274,17,10972,6369,0,0.0,0,#440154,66.0,18272,,#f8e621
RMNH_MOL_212850,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_212850.jpg,,RMNH_MOL_212850,RMNH_MOL_212850R,,0.04805786,-10.652007,15.692368,0,,0,#471063,#AAAAAA,,,,,-inf,18272,66.0,0.0,0.61,0,0,18275,11,18061,7777,5,4.0,1,#481769,66.0,18272,,#440154
RMNH_MOL_313681,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_313681.jpg,,RMNH_MOL_313681,RMNH_MOL_313681R,Shell,,-11.060528,13.938316,0,Shell,1,#800080,#9c9ede,,,,,,18272,66.0,0.9581058581920338,0.61,1,0,18270,18,16489,3579,0,46.0,0,#48c16e,66.0,18272,,#f1e51d
RMNH_MOL_181043,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_181043.jpg,,RMNH_MOL_181043,RMNH_MOL_181043R,Shell,1.0,-8.758589,14.839066,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.0,0.61,0,0,18278,15,12347,18266,49,13.0,3,#414487,66.0,18272,,#440154
RMNH_MOL_217017_1,"0,1",/mnt/big/indeed/mollusca/images/RMNH_MOL_217017_1.jpg,,RMNH_MOL_217017_1,RMNH_MOL_217017_1R,Label only,,-2.1907825,-18.416557,0,Label only,1,#800080,#393b79,,,,,,18272,66.0,0.9837833041152028,0.61,1,0,18276,7,14439,11795,0,1.0,0,#450559,66.0,18272,,#fde725
ZMA_MOLL_225367_1,"0,1",/mnt/big/indeed/mollusca/images/ZMA_MOLL_225367_1.jpg,,ZMA_MOLL_225367_1,ZMA_MOLL_225367_1R,Shell,1.0,-15.800101,15.825535,0,,0,#fde725,#9c9ede,,1.0,,,-0.0,18272,66.0,0.9345640756551066,0.61,0,0,18275,11,6403,7781,7,13.0,1,#414487,66.0,18272,,#e5e419
