image_id,label,filename,set,uid,record_id,label_predicted,score_predicted,e_0,e_1,in_test,label_true,labeled,color_prob,color_class,dp_is_ldp,dp_depth,dp_depth_alt,dp_parent,display_order
333_20230614013420,"0,1",/mnt/big/indeed/diopsis_quality/images/333_20230614013420.jpg,,333_20230614013420,333_20230614013420R,,0.0,12.190727,2.1868916,0,,0,#440154,#AAAAAA,0,68463,14,31071,24556
252_20210807154116,"0,1",/mnt/big/indeed/diopsis_quality/images/252_20210807154116.jpg,,252_20210807154116,252_20210807154116R,,0.0,-1.3871613,-8.831035,1,,0,#440154,#AAAAAA,0,68446,25,49912,4497
356_20230425070918,"0,1",/mnt/big/indeed/diopsis_quality/images/356_20230425070918.jpg,,356_20230425070918,356_20230425070918R,,0.0,-0.5082531,-11.598662,0,,0,#440154,#AAAAAA,0,68466,34,37879,45073
325_20210808024601,"0,1",/mnt/big/indeed/diopsis_quality/images/325_20210808024601.jpg,,325_20210808024601,325_20210808024601R,,0.0,-3.9023628,3.36792,1,,0,#440154,#AAAAAA,0,68465,17,16440,29480
262_20210920154956,"0,1",/mnt/big/indeed/diopsis_quality/images/262_20210920154956.jpg,,262_20210920154956,262_20210920154956R,,0.0,-5.381714,-3.9954662,0,,0,#440154,#AAAAAA,0,68464,10,29445,24614
332_20230913161851,"0,1",/mnt/big/indeed/diopsis_quality/images/332_20230913161851.jpg,,332_20230913161851,332_20230913161851R,,0.0,-1.741108,-6.4481964,0,,0,#440154,#AAAAAA,1,68438,15,1458,2671
297_20210803213800,"0,1",/mnt/big/indeed/diopsis_quality/images/297_20210803213800.jpg,,297_20210803213800,297_20210803213800R,,0.0,2.996893,4.2810154,0,,0,#440154,#AAAAAA,0,68468,14,40970,45077
312_20210813225803,"0,1",/mnt/big/indeed/diopsis_quality/images/312_20210813225803.jpg,,312_20210813225803,312_20210813225803R,,0.0,-0.0616436,2.3424683,0,,0,#440154,#AAAAAA,0,68465,11,65253,34426
261_20210906132518,"0,1",/mnt/big/indeed/diopsis_quality/images/261_20210906132518.jpg,,261_20210906132518,261_20210906132518R,,0.0,-1.696392,-7.7540493,0,,0,#440154,#AAAAAA,0,68450,13,48546,6038
253_20220517111509,"0,1",/mnt/big/indeed/diopsis_quality/images/253_20220517111509.jpg,,253_20220517111509,253_20220517111509R,,0.0,11.67358,-0.17277527,0,,0,#440154,#AAAAAA,0,68451,14,40079,6464
230_20210816062457,"0,1",/mnt/big/indeed/diopsis_quality/images/230_20210816062457.jpg,,230_20210816062457,230_20210816062457R,,0.0,0.6947479,4.972069,0,,0,#440154,#AAAAAA,0,68463,23,49578,24551
267_20210826184431,"0,1",/mnt/big/indeed/diopsis_quality/images/267_20210826184431.jpg,,267_20210826184431,267_20210826184431R,,0.0,0.07657051,-10.072029,0,,0,#440154,#AAAAAA,0,68465,28,46020,29471
227_20230602225020,"0,1",/mnt/big/indeed/diopsis_quality/images/227_20230602225020.jpg,,227_20230602225020,227_20230602225020R,,0.0,-3.314581,4.25955,0,,0,#440154,#AAAAAA,0,68464,19,3651,24570
