accuracy,recall,precision,strategies,time_s,labeled_train_set_size,linear_training
0.5844298245614035,0.5472253031047213,0.5480897884621289,fre_strat,1.9277684688568115,500,1
0.7029702970297029,0.6657527932943597,0.6733298716772127,fre_strat,37.91831302642822,1000,0
0.7006578947368421,0.6508954032273115,0.6818077132271836,fre_strat,40.150954246520996,1500,0
0.706140350877193,0.6603813331506536,0.6820937349103229,fre_strat,42.51508450508118,2000,0
0.7116228070175439,0.6671084301920194,0.6841315606139198,fre_strat,45.03278088569641,2500,0
0.706140350877193,0.6637936611189292,0.6802907388154481,fre_strat,48.15437698364258,3000,1
0.7390350877192983,0.7049259251656922,0.7168912140954441,fre_strat,83.63217425346375,3500,0
0.7445175438596491,0.7082009673546216,0.7188283428797504,fre_strat,86.9793221950531,4000,0
0.7554824561403509,0.7236510553610193,0.7365997110298752,fre_strat,90.15541744232178,4500,0
0.7532894736842105,0.7256547137996278,0.7308493082025229,fre_strat,93.91471648216248,5000,0
0.7521929824561403,0.7273608854973315,0.7296349480726826,fre_strat,97.58306527137756,5500,1
0.7576754385964912,0.7278767105169028,0.7390258385491896,fre_strat,134.79049253463745,6000,0
0.7478070175438597,0.722495142268662,0.726292937070116,fre_strat,139.2599160671234,6500,0
0.7489035087719298,0.7240058184085324,0.7272751322751322,fre_strat,143.53017854690552,7000,0
0.7445175438596491,0.7208806276620269,0.7235023668653918,fre_strat,147.88102269172668,7500,0
0.7510964912280702,0.7244124742887704,0.7302674634311584,fre_strat,152.83005738258362,8000,1
0.75,0.7164351846856033,0.7277512088846378,fre_strat,200.83214735984802,8210,0
