taxon_full_name,taxon_id_at_source,status_at_source,accepted_taxon_id_at_source,kingdom,division,class,order,family,genus,specific_epithet
Limoniidae,DIOPSIS:LIMONIIDAE,accepted,,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,,
Agapeta hamana,DIOPSIS:AGAPETA_HAMANA,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Agapeta,hamana
Panorpa vulgaris,DIOPSIS:PANORPA_VULGARIS,accepted,,Animalia,Arthropoda,Insecta,Mecoptera,Panorpidae,Panorpa,vulgaris
Ephemeroptera,DIOPSIS:EPHEMEROPTERA,accepted,,Animalia,Arthropoda,Insecta,Ephemeroptera,,,
Chironomidae,DIOPSIS:CHIRONOMIDAE,accepted,,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,,
Caenidae,DIOPSIS:CAENIDAE,accepted,,Animalia,Arthropoda,Insecta,Ephemeroptera,Caenidae,,
Animalia,DIOPSIS:ANIMALIA,accepted,,Animalia,,,,,,
Diptera,DIOPSIS:DIPTERA,accepted,,Animalia,Arthropoda,Insecta,Diptera,,,
Tipulidae,DIOPSIS:TIPULIDAE,accepted,,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,,
Sarcophagidae,DIOPSIS:SARCOPHAGIDAE,accepted,,Animalia,Arthropoda,Insecta,Diptera,Sarcophagidae,,
Elophila nymphaeata,DIOPSIS:ELOPHILA_NYMPHAEATA,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Elophila,nymphaeata
Noctuidae,DIOPSIS:NOCTUIDAE,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,,
Insecta,DIOPSIS:INSECTA,accepted,,Animalia,Arthropoda,Insecta,,,,
Araneidae,DIOPSIS:ARANEIDAE,accepted,,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,,
Leptoceridae,DIOPSIS:LEPTOCERIDAE,accepted,,Animalia,Arthropoda,Insecta,Trichoptera,Leptoceridae,,
Arthropoda,DIOPSIS:ARTHROPODA,accepted,,Animalia,Arthropoda,,,,,
Cicadellidae,DIOPSIS:CICADELLIDAE,accepted,,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,,
No animalia,DIOPSIS:NO_ANIMALIA,accepted,,animalia,,,,,,
Chrysomelidae,DIOPSIS:CHRYSOMELIDAE,accepted,,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,
Chrysopidae,DIOPSIS:CHRYSOPIDAE,accepted,,Animalia,Arthropoda,Insecta,Neuroptera,Chrysopidae,,
Crambidae,DIOPSIS:CRAMBIDAE,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,,
Ptychopteridae,DIOPSIS:PTYCHOPTERIDAE,accepted,,Animalia,Arthropoda,Insecta,Diptera,Ptychopteridae,,
Lampyridae,DIOPSIS:LAMPYRIDAE,accepted,,Animalia,Arthropoda,Insecta,Coleoptera,Lampyridae,,
Cecidomyiidae,DIOPSIS:CECIDOMYIIDAE,accepted,,Animalia,Arthropoda,Insecta,Diptera,Cecidomyiidae,,
Chiasmia clathrata,DIOPSIS:CHIASMIA_CLATHRATA,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Chiasmia,clathrata
Trichoptera,DIOPSIS:TRICHOPTERA,accepted,,Animalia,Arthropoda,Insecta,Trichoptera,,,
Hemiptera,DIOPSIS:HEMIPTERA,accepted,,Animalia,Arthropoda,Insecta,Hemiptera,,,
Geometridae,DIOPSIS:GEOMETRIDAE,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,,
Phragmataecia castaneae,DIOPSIS:PHRAGMATAECIA_CASTANEAE,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Cossidae,Phragmataecia,castaneae
Miridae,DIOPSIS:MIRIDAE,accepted,,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,,
Chrysoteuchia culmella,DIOPSIS:CHRYSOTEUCHIA_CULMELLA,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Chrysoteuchia,culmella
Ischnura,DIOPSIS:ISCHNURA,accepted,,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura,
Hymenoptera,DIOPSIS:HYMENOPTERA,accepted,,Animalia,Arthropoda,Insecta,Hymenoptera,,,
Tetragnathidae,DIOPSIS:TETRAGNATHIDAE,accepted,,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,,
Culicidae,DIOPSIS:CULICIDAE,accepted,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,,
Ceratopogonidae,DIOPSIS:CERATOPOGONIDAE,accepted,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,
Muscidae,DIOPSIS:MUSCIDAE,accepted,,Animalia,Arthropoda,Insecta,Diptera,Muscidae,,
Aphididae,DIOPSIS:APHIDIDAE,accepted,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,
Plutellidae,DIOPSIS:PLUTELLIDAE,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Plutellidae,,
Coleoptera,DIOPSIS:COLEOPTERA,accepted,,Animalia,Arthropoda,Insecta,Coleoptera,,,
Lomaspilis marginata,DIOPSIS:LOMASPILIS_MARGINATA,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Lomaspilis,marginata
Erebidae,DIOPSIS:EREBIDAE,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,,
Auchenorrhyncha indet.,DIOPSIS:AUCHENORRHYNCHA_INDET,accepted,,Animalia,Arthropoda,Insecta,Hemiptera,indet.,,
Rivula sericealis,DIOPSIS:RIVULA_SERICEALIS,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Rivula,sericealis
Baetidae,DIOPSIS:BAETIDAE,accepted,,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,,
Psychodidae,DIOPSIS:PSYCHODIDAE,accepted,,Animalia,Arthropoda,Insecta,Diptera,Psychodidae,,
Corixidae,DIOPSIS:CORIXIDAE,accepted,,Animalia,Arthropoda,Insecta,Hemiptera,Corixidae,,
Fanniidae,DIOPSIS:FANNIIDAE,accepted,,Animalia,Arthropoda,Insecta,Diptera,Fanniidae,,
Idaea,DIOPSIS:IDAEA,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Idaea,
Conocephalus,DIOPSIS:CONOCEPHALUS,accepted,,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Conocephalus,
Araneae,DIOPSIS:ARANEAE,accepted,,Animalia,Arthropoda,Arachnida,Araneae,,,
Tortricidae,DIOPSIS:TORTRICIDAE,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,,
Arachnida,DIOPSIS:ARACHNIDA,accepted,,Animalia,Arthropoda,Arachnida,,,,
Eupithecia,DIOPSIS:EUPITHECIA,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,
Parasitica indet.,DIOPSIS:PARASITICA_INDET,accepted,,Animalia,Arthropoda,Insecta,Hymenoptera,indet.,,
Yponomeuta,DIOPSIS:YPONOMEUTA,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta,
Pterophoridae,DIOPSIS:PTEROPHORIDAE,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,,
Euproctis,DIOPSIS:EUPROCTIS,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Euproctis,
Opiliones,DIOPSIS:OPILIONES,accepted,,Animalia,Arthropoda,Arachnida,Opiliones,,,
Cantharis,DIOPSIS:CANTHARIS,accepted,,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharis,
Gastropoda,DIOPSIS:GASTROPODA,accepted,,Animalia,Mollusca,Gastropoda,,,,
Tabanidae,DIOPSIS:TABANIDAE,accepted,,Animalia,Arthropoda,Insecta,Diptera,Tabanidae,,
Tettigoniidae,DIOPSIS:TETTIGONIIDAE,accepted,,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,,
Ischnura elegans,DIOPSIS:ISCHNURA_ELEGANS,accepted,,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura,elegans
Lepidoptera,DIOPSIS:LEPIDOPTERA,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,,,
Ichneumonidae,DIOPSIS:ICHNEUMONIDAE,accepted,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,,
Pyrausta,DIOPSIS:PYRAUSTA,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Pyrausta,
Panorpa germanica,DIOPSIS:PANORPA_GERMANICA,accepted,,Animalia,Arthropoda,Insecta,Mecoptera,Panorpidae,Panorpa,germanica
Collembola,DIOPSIS:COLLEMBOLA,accepted,,Animalia,Entognatha,Collembola,,,,
Syrphidae,DIOPSIS:SYRPHIDAE,accepted,,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,,
Sepsidae,DIOPSIS:SEPSIDAE,accepted,,Animalia,Arthropoda,Insecta,Diptera,Sepsidae,,
Pentatomidae,DIOPSIS:PENTATOMIDAE,accepted,,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,,
Formicidae,DIOPSIS:FORMICIDAE,accepted,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,
Apidae,DIOPSIS:APIDAE,accepted,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,
Cantharidae,DIOPSIS:CANTHARIDAE,accepted,,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,,
Hydroptilidae,DIOPSIS:HYDROPTILIDAE,accepted,,Animalia,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,
Synaphe punctalis,DIOPSIS:SYNAPHE_PUNCTALIS,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Synaphe,punctalis
Ophion,DIOPSIS:OPHION,accepted,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Ophion,
Vespidae,DIOPSIS:VESPIDAE,accepted,,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,,
Leptophyes punctatissima,DIOPSIS:LEPTOPHYES_PUNCTATISSIMA,accepted,,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Leptophyes,punctatissima
Curculionidae,DIOPSIS:CURCULIONIDAE,accepted,,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,,
Coleophoridae,DIOPSIS:COLEOPHORIDAE,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Coleophoridae,,
Cydalima perspectalis,DIOPSIS:CYDALIMA_PERSPECTALIS,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Cydalima,perspectalis
Acrididae,DIOPSIS:ACRIDIDAE,accepted,,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,,
Forficulidae,DIOPSIS:FORFICULIDAE,accepted,,Animalia,Arthropoda,Insecta,Dermaptera,Forficulidae,,
Orthoptera,DIOPSIS:ORTHOPTERA,accepted,,Animalia,Arthropoda,Insecta,Orthoptera,,,
Staphylinidae,DIOPSIS:STAPHYLINIDAE,accepted,,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,,
Spilosoma,DIOPSIS:SPILOSOMA,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Spilosoma,
Eilema,DIOPSIS:EILEMA,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Eilema,
Yponomeutidae,DIOPSIS:YPONOMEUTIDAE,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,,
Psocodea,DIOPSIS:PSOCODEA,accepted,,Animalia,Arthropoda,Insecta,Psocodea,,,
Asilidae,DIOPSIS:ASILIDAE,accepted,,Animalia,Arthropoda,Insecta,Diptera,Asilidae,,
Bombus,DIOPSIS:BOMBUS,accepted,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,
Stratiomyidae,DIOPSIS:STRATIOMYIDAE,accepted,,Animalia,Arthropoda,Insecta,Diptera,Stratiomyidae,,
Pieridae,DIOPSIS:PIERIDAE,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,,
Plusia festucae,DIOPSIS:PLUSIA_FESTUCAE,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Plusia,festucae
Deltote bankiana,DIOPSIS:DELTOTE_BANKIANA,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Deltote,bankiana
Neuroptera,DIOPSIS:NEUROPTERA,accepted,,Animalia,Arthropoda,Insecta,Neuroptera,,,
Arctiidae,DIOPSIS:ARCTIIDAE,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,,
Coreus marginatus,DIOPSIS:COREUS_MARGINATUS,accepted,,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Coreus,marginatus
Triodia sylvina,DIOPSIS:TRIODIA_SYLVINA,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Hepialidae,Triodia,sylvina
Lymantria dispar,DIOPSIS:LYMANTRIA_DISPAR,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Lymantria,dispar
Anania hortulata,DIOPSIS:ANANIA_HORTULATA,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Anania,hortulata
Phlogophora meticulosa,DIOPSIS:PHLOGOPHORA_METICULOSA,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Phlogophora,meticulosa
Deltote uncula,DIOPSIS:DELTOTE_UNCULA,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Deltote,uncula
Coenagrionidae,DIOPSIS:COENAGRIONIDAE,accepted,,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,,
Empididae,DIOPSIS:EMPIDIDAE,accepted,,Animalia,Arthropoda,Insecta,Diptera,Empididae,,
Carabidae,DIOPSIS:CARABIDAE,accepted,,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,,
Panorpa,DIOPSIS:PANORPA,accepted,,Animalia,Arthropoda,Insecta,Mecoptera,Panorpidae,Panorpa,
Calliphoridae,DIOPSIS:CALLIPHORIDAE,accepted,,Animalia,Arthropoda,Insecta,Diptera,Calliphoridae,,
Notodontidae,DIOPSIS:NOTODONTIDAE,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,,
Pentatoma,DIOPSIS:PENTATOMA,accepted,,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Pentatoma,
Eristalis,DIOPSIS:ERISTALIS,accepted,,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,
Dermaptera,DIOPSIS:DERMAPTERA,accepted,,Animalia,Arthropoda,Insecta,Dermaptera,,,
Coreus,DIOPSIS:COREUS,accepted,,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Coreus,
Carabus,DIOPSIS:CARABUS,accepted,,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,
Pyralidae,DIOPSIS:PYRALIDAE,accepted,,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,,
Braconidae,DIOPSIS:BRACONIDAE,accepted,,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,,
