,label,count
137,"Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Pyrausta,Pyrausta despicata",1
141,"Animalia,Arthropoda,Insecta,Hemiptera,Acanthosomatidae",1
194,"Animalia,Arthropoda,Insecta,Lepidoptera,Hymenoptera,Ichneumonidae,Ophion",1
85,"Animalia,Arthropoda,Insecta,Diptera,Ptychopteridae,Limoniidae",1
143,"Animalia,Arthropoda,Insecta,Hemiptera,Coleoptera,Curculionidae",1
145,"Animalia,Arthropoda,Insecta,Diptera,Lepidoptera,Limoniidae",1
146,"Animalia,Arthropoda,Insecta,Orthoptera,Diptera,Ptychopteridae",1
234,"Animalia,Arthropoda,Insecta,Lepidoptera,Nepticulidae",1
236,"Animalia,Arthropoda,Insecta,Diptera,Anisopodidae",1
240,"Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae",1
132,"Animalia,Arthropoda,Insecta,Lepidoptera,Rivula,Rivula sericealis",1
134,"Animalia,Arthropoda,Insecta,Mecoptera,Lepidoptera,Panorpidae",1
228,"Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae",1
230,"Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae",1
195,"Animalia,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Geometridae,Eupithecia",1
196,"Animalia,Insecta,Diptera,Limoniidae",1
187,"Animalia,Mollusca,Arthropoda,Gastropoda",1
188,"Animalia,Arthropoda,Insecta,Panorpidae,Panorpa",1
156,"Animalia,Arthropoda,Insecta,Diptera,Lepidoptera,Crambidae",1
157,"Animalia,Arthropoda,Insecta,Ephemeroptera,Diptera,Chironomidae,Leptoceridae",1
158,"Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrion,Coenagrion puella",1
159,"Animalia,Arthropoda,Insecta,Arachnida,Araneae,Araneidae",1
160,"Animalia,Arthropoda,Insecta,Arachnida,Trichoptera,Araneae,Tetragnathidae",1
122,"Animalia,Arthropoda,Insecta,Diptera,Lepidoptera,Tipulidae",1
179,"Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Leptoceridae",1
180,"Animalia,Arthropoda,Insecta,Arachnida,Diptera,Araneae,Limoniidae",1
182,"Animalia,Arthropoda,Caenidae",1
167,"Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Thymelicus",1
168,"Animalia,Arthropoda,Insecta,Diptera,Hymenoptera",1
169,"Animalia,Arthropoda,Insecta,Neuroptera,Chironomidae,Chrysopidae",1
74,"Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,Limoniidae",1
94,"Animalia,Arthropoda,Insecta,Diptera,Bibionidae",1
96,"Animalia,Arthropoda,Insecta,Coleoptera,Hemiptera,Curculionidae",1
97,"Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena proboscidalis",1
100,"Animalia,Arthropoda,Insecta,Diptera,Lepidoptera,Chironomidae,Chiasmia",1
183,"Animalia,Arthropoda,Insecta,Diptera,Leptoceridae,Limoniidae",1
185,"Animalia,Arthropoda,Insecta,Diptera,Lepidoptera,Syrphidae,Eristalis",1
56,"Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Myathropa,Myathropa florea",1
170,"Animalia,Arthropoda,Insecta,Diptera,Caenidae",1
172,"Animalia,Arthropoda,Insecta,Arachnida,Diptera,Araneae",1
174,"Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Apidae",1
176,"Animalia,Arthropoda,Insecta,Lepidoptera,Caenidae,Crambidae",1
177,"Animalia,Arthropoda,Insecta,Diptera,Neuroptera,Chrysopidae",1
58,"Animalia,Arthropoda,Insecta,Arachnida,Araneae,Coleoptera,Araneidae,Carabidae,Carabus",1
115,"Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans",1
119,"Animalia,Arthropoda,Insecta,Trichoptera,Crambidae,Leptoceridae",1
120,"Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Geometridae,Plusia,Chiasmia,Plusia festucae,Chiasmia clathrata",1
155,"Animalia,Arthropoda,Insecta,Diptera,Coleoptera,Curculionidae",1
72,"Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Laspeyria,Laspeyria flexula",1
162,"Animalia,Arthropoda,Insecta,Diptera,Leptoceridae",1
163,"Animalia,Arthropoda,Insecta,Trichoptera,Diptera",1
102,Lepidoptera,1
105,"Animalia,Arthropoda,Insecta,Diptera,Tabanidae,Haematopota",1
110,"Animalia,Arthropoda,Insecta,Lepidoptera,Coleoptera,Carabidae",1
166,"shadow,Animalia,Arthropoda,Arachnida,Araneae,Araneidae",1
136,"Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Chiasmia,Lymantria dispar,Chiasmia clathrata",1
128,"Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Anania",1
76,"Animalia,Arthropoda,Insecta,Trichoptera,Lepidoptera,Crambidae",1
77,"Animalia,Arthropoda,Insecta,Diptera,Hymenoptera,Chironomidae,Ichneumonidae,Ophion",1
80,"Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Limoniidae,Chiasmia,Chiasmia clathrata",1
82,"Animalia,Arthropoda,Insecta,Trichoptera,Neuroptera,Leptoceridae,Chrysopidae",1
232,"Animalia,Arthropoda,Insecta,Diptera,Sciaridae",1
238,"Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Cabera",1
142,"Animalia,Arthropoda,Insecta,Hemiptera,Hymenoptera,Apidae,Apis,Apis mellifera",1
237,"Animalia,Entognatha,Collembola,Tomoceridae",1
147,"Animalia,Arthropoda,Insecta,Diptera,Hemiptera,Rhagionidae",1
144,"Animalia,Arthropoda,Insecta,Orthoptera,Hymenoptera,Ichneumonidae",2
151,"Animalia,Arthropoda,Insecta,Diptera,Scathophagidae",2
150,"Animalia,Arthropoda,Insecta,Orthoptera,Diptera,Chironomidae",2
88,"Animalia,Arthropoda,Insecta,Diptera,Hymenoptera,Ptychopteridae,Vespidae",2
89,"Animalia,Arthropoda,Arachnida,Araneae,Clubionidae",2
173,"Animalia,shadow,Arthropoda,Insecta,Odonata,Coenagrionidae",2
184,"Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Pyrausta,Pyrausta purpuralis",2
57,"Animalia,Arthropoda,Insecta,Arachnida,Diptera,Araneae,Tipulidae",2
171,"Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pararge,Pararge aegeria",2
42,"Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae",2
181,"shadow,Animalia,Arthropoda,Insecta,Diptera",2
130,"Animalia,Arthropoda,Insecta,Arachnida,Diptera,Ptychopteridae",2
189,"Animalia,Arthropoda,Insecta,Lepidoptera,Coleoptera,Lampyridae",2
193,"Animalia,Arthropoda,Insecta,Mecoptera,Lepidoptera,Panorpidae,Panorpa",2
243,"Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Agapeta",2
93,"Animalia,Arthropoda,Opiliones",2
231,"Animalia,Arthropoda,Insecta,Diptera,Mycetophilidae",2
127,"Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Anania,Anania coronata",2
83,"No animalia,Lepidoptera",2
149,"Animalia,Arthropoda,Insecta,Orthoptera,Coleoptera,Cantharidae,Cantharis",2
98,"Animalia,Arthropoda,Insecta,Neuroptera,Leptoceridae,Chrysopidae",3
81,"Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Geometridae,Chiasmia,Chiasmia clathrata",3
75,"Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Geometridae",3
68,"Animalia,Arthropoda,Insecta,Dermaptera,Forficulidae",3
154,"Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis",3
191,"Animalia,Arthropoda,Mollusca,Insecta,Gastropoda",3
227,"Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae",3
129,"Animalia,Arthropoda,Arachnida,Diptera,Araneae,Tetragnathidae",3
192,"Animalia,Arthropoda,Mollusca,Insecta,Gastropoda,Lepidoptera",3
118,"Animalia,Arthropoda,Insecta,Diptera,Asilidae",4
