,end_label,full_labels,count
0,Chironomidae,2,2
1,Ptychopteridae,2,2
2,Pentatoma,1,1
3,Parasitica indet.,1,1
4,Panorpa vulgaris,1,1
5,Panorpa germanica,1,1
6,Panorpa,1,1
7,Orthoptera,1,1
8,Opiliones,1,1
9,Ophion,1,1
10,Notodontidae,1,1
11,Noctuidae,1,1
12,No animalia,1,1
13,Neuroptera,1,1
14,Pentatomidae,1,1
15,Miridae,1,1
16,Lymantria dispar,1,1
17,Lomaspilis marginata,1,1
18,Limoniidae,1,1
19,Leptophyes punctatissima,1,1
20,Leptoceridae,1,1
21,Lepidoptera,1,1
22,Lampyridae,1,1
23,Ischnura elegans,1,1
24,Ischnura,1,1
25,Insecta,1,1
26,Idaea,1,1
27,Ichneumonidae,1,1
28,Hymenoptera,1,1
29,Hydroptilidae,1,1
30,Muscidae,1,1
31,Yponomeutidae,1,1
32,Yponomeuta,1,1
33,Vespidae,1,1
34,Triodia sylvina,1,1
35,Trichoptera,1,1
36,Tortricidae,1,1
37,Tipulidae,1,1
38,Apidae,1,1
39,Tetragnathidae,1,1
40,Tabanidae,1,1
41,Syrphidae,1,1
42,Synaphe punctalis,1,1
43,Stratiomyidae,1,1
44,Phlogophora meticulosa,1,1
45,Spilosoma,1,1
46,Sepsidae,1,1
47,Sarcophagidae,1,1
48,Rivula sericealis,1,1
49,Pyrausta,1,1
50,Pyralidae,1,1
51,Pterophoridae,1,1
52,Psychodidae,1,1
53,Psocodea,1,1
54,Plutellidae,1,1
55,Plusia festucae,1,1
56,Pieridae,1,1
57,Phragmataecia castaneae,1,1
58,Tettigoniidae,1,1
59,Staphylinidae,1,1
60,Chrysoteuchia culmella,1,1
61,Chrysopidae,1,1
62,Chrysomelidae,1,1
63,Chiasmia clathrata,1,1
64,Ceratopogonidae,1,1
65,Cecidomyiidae,1,1
66,Carabus,1,1
67,Carabidae,1,1
68,Cantharis,1,1
69,Cantharidae,1,1
70,Calliphoridae,1,1
71,Caenidae,1,1
72,Braconidae,1,1
73,Hemiptera,1,1
74,Baetidae,1,1
75,Auchenorrhyncha indet.,1,1
76,Asilidae,1,1
77,Arthropoda,1,1
78,Arctiidae,1,1
79,Araneidae,1,1
80,Araneae,1,1
81,Aphididae,1,1
82,Animalia,1,1
83,Anania hortulata,1,1
84,Agapeta hamana,1,1
85,Acrididae,1,1
86,sys:review,1,1
87,Bombus,1,1
88,Arachnida,1,1
89,Geometridae,1,1
90,Gastropoda,1,1
91,Formicidae,1,1
92,Forficulidae,1,1
93,Fanniidae,1,1
94,Euproctis,1,1
95,Eupithecia,1,1
96,Eristalis,1,1
97,Erebidae,1,1
98,Ephemeroptera,1,1
99,Empididae,1,1
100,Elophila nymphaeata,1,1
101,Eilema,1,1
102,Diptera,1,1
103,Cicadellidae,1,1
104,Deltote uncula,1,1
105,Deltote bankiana,1,1
106,Cydalima perspectalis,1,1
107,Curculionidae,1,1
108,Culicidae,1,1
109,Crambidae,1,1
110,Corixidae,1,1
111,Coreus marginatus,1,1
112,Coreus,1,1
113,Conocephalus,1,1
114,Collembola,1,1
115,Coleoptera,1,1
116,Coleophoridae,1,1
117,Coenagrionidae,1,1
118,Dermaptera,1,1
