,Family,Genus,Species,Subspecies,Infrasubspecies,Sex,Name
0,,,,,,,nan nan nan nan nan nan
129,,Delias,Delias,Delias,,,nan Delias nan nan nan nan
244,Hesperiidae,Notocrypta,Notocrypta sp.,Notocrypta sp.,,,Hesperiidae Notocrypta sp. nan nan nan
278,Hesperiidae,Telicota,Telicota sp.,Telicota sp.,,,Hesperiidae Telicota sp. nan nan nan
420,Nymphalidae,,,,,,Nymphalidae nan nan nan nan nan
422,Pieridae,Appias,Appias,Appias,,,Pieridae Appias nan nan nan nan
502,Nymphalidae,Mynes,Mynes geoffroyii,Mynes geoffroyii,,,Nymphalidae Mynes geoffroyii nan nan nan
648,Pieridae,Eurema,Eurema,Eurema,,,Pieridae Eurema nan nan nan nan
835,Nymphalidae,Danaus,Danaus,Danaus,,,Nymphalidae Danaus nan nan nan nan
1082,Erebidae,,,,,,Erebidae nan nan nan nan nan
1539,Uraniidae,,,,,,Uraniidae nan nan nan nan nan
1729,Nymphalidae,,,,,ERROR,Nymphalidae nan nan nan nan @
1840,Pieridae,Delias,Delias,Delias,,,Pieridae Delias nan nan nan nan
3379,Papilionidae,Parnassius,Parnassius,Parnassius,,,Papilionidae Parnassius nan nan nan nan
4785,Nymphalidae,Vanessa,Vanessa virginiensis,Vanessa virginiensis,,,Nymphalidae Vanessa virginiensis nan nan nan
4818,Nymphalidae,Charaxes,Charaxes,Charaxes,,,Nymphalidae Charaxes nan nan nan nan
5354,Nymphalidae,Neptis,Neptis,Neptis,,,Nymphalidae Neptis nan nan nan nan
7022,,,,,,ERROR,nan nan nan nan nan B+@
7076,,,,,,ERROR,nan nan nan nan nan @
8356,Nymphalidae,Cethosia,Cethosia,Cethosia,,,Nymphalidae Cethosia nan nan nan nan
8423,Nymphalidae,Sephisa,Sephisa chandra,Sephisa chandra,,,Nymphalidae Sephisa chandra nan nan nan
8845,Papilionidae,Byasa,Byasa polyeuctes,Byasa polyeuctes letincius,,,Papilionidae Byasa polyeuctes letincius nan nan
8878,Papilionidea,Byasa,Byasa polyeuctes,Byasa polyeuctes,,,Papilionidea Byasa polyeuctes nan nan nan
9019,Nymphalidae,,,,,ERROR,Nymphalidae nan nan nan nan B
9113,Papilionidae,Papilio,Papilio polyctor,Papilio polyctor,,,Papilionidae Papilio polyctor nan nan nan
9128,Papilionidae,Graphium,Graphium sarpedon,Graphium sarpedon,,,Papilionidae Graphium sarpedon nan nan nan
9163,Nymphalidae,Argynnis,Argynnis hyperbius,Argynnis hyperbius,,,Nymphalidae Argynnis hyperbius nan nan nan
9258,Papilionidae,Papilio,Papilio memnon,Papilio memnon,,,Papilionidae Papilio memnon nan nan nan
9265,Papilionidae,Parnassius,Parnassius acdestis,Parnassius acdestis,,,Papilionidae Parnassius acdestis nan nan nan
9321,Papilionidae,Graphium,Graphium nomius,Graphium nomius,,,Papilionidae Graphium nomius nan nan nan
9340,Papilionidae,Parnassius,Parnassius epaphus,Parnassius epaphus,,,Papilionidae Parnassius epaphus nan nan nan
9457,Nymphalidae,Vanessa,Vanessa cardui,Vanessa cardui,,,Nymphalidae Vanessa cardui nan nan nan
9475,Nymphalidae,Euploea,Euploea mulciber,Euploea mulciber mulciber,,Euploea mulciber mulciber male,Nymphalidae Euploea mulciber mulciber nan male
9489,Nymphalidae,Euploea,Euploea mulciber,Euploea mulciber mulciber,,Euploea mulciber mulciber female,Nymphalidae Euploea mulciber mulciber nan female
