,Order,Butterfly_Moth,Family,Genus,Species,Subspecies,Sex,Name
0,Lepidoptera,Butterfly,Nymphalidae,Elymnias,Elymnias casiphone,Elymnias casiphone saueri,Elymnias casiphone saueri female,Lepidoptera Butterfly Nymphalidae Elymnias casiphone saueri female
1,Lepidoptera,Butterfly,Pieridae,Eurema,Eurema andersoni,Eurema andersoni,Eurema andersoni male,Lepidoptera Butterfly Pieridae Eurema andersoni nan male
3,Lepidoptera,Butterfly,Nymphalidae,Libythea,Libythea geoffroyi,Libythea geoffroyi,,Lepidoptera Butterfly Nymphalidae Libythea geoffroyi nan nan
7,Lepidoptera,Butterfly,Papilionidae,Papilio,Papilio memnon,Papilio memnon lowi,Papilio memnon lowi male,Lepidoptera Butterfly Papilionidae Papilio memnon lowi male
8,Lepidoptera,Butterfly,Papilionidae,Papilio,Papilio memnon,Papilio memnon lowi,,Lepidoptera Butterfly Papilionidae Papilio memnon lowi nan
15,Lepidoptera,Butterfly,Papilionidae,Papilio,Papilio memnon,Papilio memnon lowi,Papilio memnon lowi female,Lepidoptera Butterfly Papilionidae Papilio memnon lowi female
19,Lepidoptera,Butterfly,Nymphalidae,Athyma,Athyma gutama,Athyma gutama,,Lepidoptera Butterfly Nymphalidae Athyma gutama nan nan
20,Lepidoptera,Butterfly,Nymphalidae,Telchinia,Telchinia issoria,Telchinia issoria,,Lepidoptera Butterfly Nymphalidae Telchinia issoria nan nan
21,Lepidoptera,Butterfly,Nymphalidae,Cyrestis,Cyrestis strigata,Cyrestis strigata bettina,,Lepidoptera Butterfly Nymphalidae Cyrestis strigata bettina nan
22,Lepidoptera,Butterfly,Nymphalidae,Lexias,Lexias dirtea,Lexias dirtea,Lexias dirtea male,Lepidoptera Butterfly Nymphalidae Lexias dirtea nan male
23,Lepidoptera,Butterfly,Nymphalidae,Lexias,Lexias dirtea,Lexias dirtea,,Lepidoptera Butterfly Nymphalidae Lexias dirtea nan nan
24,Lepidoptera,Butterfly,Nymphalidae,Dichorragia,Dichorragia ninus,Dichorragia ninus,Dichorragia ninus female,Lepidoptera Butterfly Nymphalidae Dichorragia ninus nan female
25,Lepidoptera,Butterfly,Nymphalidae,Lexias,Lexias dirtea,Lexias dirtea khasiana,Lexias dirtea khasiana female,Lepidoptera Butterfly Nymphalidae Lexias dirtea khasiana female
26,Lepidoptera,Butterfly,Nymphalidae,Acraea,Acraea andromacha,Acraea andromacha,,Lepidoptera Butterfly Nymphalidae Acraea andromacha nan nan
28,Lepidoptera,Butterfly,Nymphalidae,Tanaecia,Tanaecia amisa,Tanaecia amisa,Tanaecia amisa male,Lepidoptera Butterfly Nymphalidae Tanaecia amisa nan male
29,Lepidoptera,Butterfly,Nymphalidae,Tanaecia,Tanaecia aruna,Tanaecia aruna,,Lepidoptera Butterfly Nymphalidae Tanaecia aruna nan nan
39,Lepidoptera,Butterfly,Nymphalidae,Tanaecia,Tanaecia munda,Tanaecia munda,,Lepidoptera Butterfly Nymphalidae Tanaecia munda nan nan
45,Lepidoptera,Butterfly,Nymphalidae,Acraea,Acraea andromacha,Acraea andromacha,Acraea andromacha female,Lepidoptera Butterfly Nymphalidae Acraea andromacha nan female
48,Lepidoptera,Butterfly,Nymphalidae,Acraea,Acraea meyeri,Acraea meyeri,,Lepidoptera Butterfly Nymphalidae Acraea meyeri nan nan
50,Lepidoptera,Butterfly,Nymphalidae,Acraea,Acraea meyeri,Acraea meyeri,Acraea meyeri female,Lepidoptera Butterfly Nymphalidae Acraea meyeri nan female
